SKU,Item Name,Item Type,Quantity,Reorder Threshold,Expiration Date
EQP-001,ICU Bed (Neuro Positioning),Equipment,178,35,
EQP-002,Ventilator (Neuro Settings),Equipment,86,17,
EQP-003,Cardiac Monitor (ECG),Equipment,131,26,
EQP-004,Defibrillator / AED,Equipment,23,5,
EQP-005,Infusion Pump (IV and Syringe),Equipment,80,16,
EQP-006,Suction Machine,Equipment,69,13,
EQP-007,Pulse Oximeter,Equipment,66,13,
EQP-008,ICP Monitor & Transducers,Equipment,23,5,
EQP-009,External Ventricular Drain (EVD Kit),Equipment,20,5,
EQP-010,Continuous EEG Machine & Electrodes,Equipment,107,21,
EQP-011,Brain Tissue Oxygen Monitor,Equipment,110,22,
EQP-012,Arterial Line Kit,Equipment,49,9,
EQP-013,Central Venous Catheter Kit,Equipment,97,19,
EQP-014,Endotracheal Tubes (various sizes),Equipment,110,22,
EQP-015,Nasogastric Tubes / Feeding Tubes,Equipment,34,6,
EQP-016,Foley Catheters (various sizes),Equipment,20,5,
EQP-017,Lumbar Puncture Kit,Equipment,171,34,
EQP-018,Head Immobilizer / Cervical Collar,Equipment,20,5,
EQP-019,Cooling / Therapeutic Hypothermia Device,Equipment,112,22,
EQP-020,Blood Gas Analyzer,Equipment,24,5,
EQP-021,Portable Ultrasound Machine,Equipment,63,12,
EQP-022,Neuromuscular Blockade Delivery Equip,Equipment,109,21,
EQP-023,"Oxygen Delivery Devices (Masks, Cannulas)",Equipment,126,25,
EQP-024,Respiratory Humidifiers,Equipment,98,19,
EQP-025,Blood Pressure Cuffs (all sizes),Equipment,60,12,
EQP-026,Additional Equipment 1,Equipment,185,37,
EQP-027,Additional Equipment 2,Equipment,72,14,
EQP-028,Additional Equipment 3,Equipment,191,38,
EQP-029,Additional Equipment 4,Equipment,120,24,
EQP-030,Additional Equipment 5,Equipment,181,36,
EQP-031,Additional Equipment 6,Equipment,108,21,
EQP-032,Additional Equipment 7,Equipment,121,24,
EQP-033,Additional Equipment 8,Equipment,175,35,
EQP-034,Additional Equipment 9,Equipment,100,20,
EQP-035,Additional Equipment 10,Equipment,92,18,
EQP-036,Additional Equipment 11,Equipment,62,12,
EQP-037,Additional Equipment 12,Equipment,160,32,
EQP-038,Additional Equipment 13,Equipment,151,30,
EQP-039,Additional Equipment 14,Equipment,107,21,
EQP-040,Additional Equipment 15,Equipment,189,37,
CON-001,Sterile Gloves (various sizes),Consumable,178,35,2026-01-05
CON-002,Non-sterile Gloves,Consumable,134,26,2025-09-21
CON-003,"Surgical Face Masks (surgical, N95)",Consumable,95,19,2026-04-30
CON-004,Disposable Isolation Gowns,Consumable,163,32,2026-06-09
CON-005,Sterile Gauze Pads (multiple sizes),Consumable,19,5,2025-08-21
CON-006,Non-sterile Gauze Pads,Consumable,154,30,2026-05-21
CON-007,Alcohol Prep Pads / Wipes,Consumable,159,31,2025-12-17
CON-008,Chlorhexidine Wipes,Consumable,16,5,2026-01-31
CON-009,Surgical Drapes and Towels,Consumable,187,37,2026-04-10
CON-010,Adhesive Surgical Tape (various widths),Consumable,98,19,2025-09-05
CON-011,Transparent Film Dressings (Tegaderm),Consumable,145,29,2026-01-04
CON-012,IV Cannulas (various gauges),Consumable,104,20,2026-05-11
CON-013,"Syringes (1ml, 3ml, 5ml, 10ml, 20ml, 60ml)",Consumable,120,24,2025-08-12
CON-014,Needles (various sizes),Consumable,122,24,2026-07-02
CON-015,"Sterile Water and Saline (vials, bags)",Consumable,135,27,2026-01-11
CON-016,"IV Fluids (Normal Saline, LR, Dextrose)",Consumable,46,9,2026-01-18
CON-017,Suction Catheters (sterile),Consumable,12,5,2025-11-24
